Date,high
2017-07-31,293.73
2017-08-31,392.0
2017-09-30,396.88
2017-10-31,350.0
2017-11-30,518.13
2017-12-31,875.0
2018-01-31,1419.96
2018-02-28,1143.0
2018-03-31,878.0
2018-04-30,711.0
2018-05-31,828.97
2018-06-30,627.83
2018-07-31,515.88
2018-08-31,435.48
2018-09-30,302.2
2018-10-31,234.92
2018-11-30,222.78
2018-12-31,159.51
2019-01-31,160.61
2019-02-28,165.62
2019-03-31,147.0
2019-04-30,187.62
2019-05-31,288.77
2019-06-30,364.49
2019-07-31,318.6
2019-08-31,239.45
2019-09-30,224.71
2019-10-31,199.5
2019-11-30,194.6
2019-12-31,153.0
2020-01-31,186.89
2020-02-29,290.0
2020-03-31,253.01
